question,answer
What was one important thing that Abraham Lincoln did?,"Freda, slaves, emancipation, proclamation; same to preserve the union; let the United States during the Civil War"
What did the Emancipation Proclamation do?,Freed the slaves; freed the slaves in the confederacy; freed slaves in the confederate states; three states in most southern states
What did Susan B. Anthony do?,For for women's rights; photo civil rig
Name one war fought by the United States in the 1900s.,"World War I World War II, Korean War, Vietnam war, Persian Gulf War"
Who was President during World War I?,Woodrow Wilson
Who was President during the Great Depression and World War II?,Franklin Roosevelt
Who did the United States fight in World War II?,"Germany, Japan, Italy"
"Before he was President, Eisenhower was a general. What war was he in?",World war two
"During the Cold War, what was the main concern of the United States?",Communism
What movement tried to end racial discrimination?,The civil rights movement
"What did Martin Luther King, Jr. do?",Fought for civil rights; what are equality for all Americans?
"What major event happened on September 11, 2001, in the United States?",Terrorist attack the United States
Name one American Indian tribe in the United States.,"Apache Crow Cherokee, Sue, Navajo Chippewa"
Name one of the two longest rivers in the United States.,"Missouri, Mississippi"
What ocean is on the West Coast of the United States?,Pacific
What ocean is on the East Coast of the United States?,Atlantic
Name one U.S. territory.,"Puerto Rico, Guam, US Virgin Islands"
Name one state that borders Canada.,"Washington, New York, Maine, New Hampshire, Ohio, Michigan, Minnesota, Montana, Idaho, Washington, Alaska"
Name one state that borders Mexico.,"California, Texas, Arizona"
What is the capital of the United States?,Washington DC
Where is the Statue of Liberty?,New York
Why does the flag have 13 stripes?,Because the original 13 colonies
Why does the flag have 50 stars?,Because our 50 states
What is the name of the national anthem?,The Star-Spangled Banner
When do we celebrate Independence Day?,July 4
Name two national U.S. holidays.,"New Year's Day Christmas day Labor Day, Presidents' Day, Martin Luther King day Independence Day Columbus Day, Veterans Day Christmas"
